MONATE_SEIT_EINFUEHRUNG_PROGRAMM_KOHORTE,MONAT,monat_jahr,monat_monat,monat_jahreszeit,KOHORTE,kohorte_jahr,kohorte_monat,kohorte_jahreszeit,ERSTER_MONAT_KOHORTE_FG,MONATE_SEIT_EXISTENZ_KOHORTE,KOHORTENGROESSE_INDEXIERT,KOHORTENGROESSE_KUMULIERT_INDEXIERT,IDENTIFIZIERTE_KUNDEN_INDEXIERT,RETENTIONRATE,UMSATZ_INDEXIERT,MONATLICHER_UMSATZ_INDEXIERT,UMSATZANTEIL_KOHORTE,ANZ_BONS_INDEXIERT,ABVERKAUF_INDEXIERT,RABATT_INDEXIERT,FREQUENZ_INDEXIERT,DURCHSCHNITTSBON_INDEXIERT,STUECKBON_INDEXIERT,UMSATZ_JE_KUNDE_INDEXIERT,ABVERKAUF_JE_KUNDE_INDEXIERT,RABATT_JE_KUNDE_INDEXIERT
-2,201408,2014,8,Sommer,201408,2014,8,Sommer,1,0,0.41,0.08,0.41,100.0,0.16,0.03,0.1040582726,0.54,0.2,2.54,131.29,29.28,37.51,38.45,49.24,615.67
-2,201409,2014,9,Herbst,201408,2014,8,Sommer,0,1,0.41,0.08,0.4,95.8466,1.14,2.51,0.0076677521,2.54,1.41,7.14,641.94,44.77,55.55,287.41,356.62,1805.14
-2,201410,2014,10,Herbst,201408,2014,8,Sommer,0,2,0.41,0.08,0.39,94.2492,1.58,98.86,0.0002700106,3.38,1.85,9.28,868.77,46.6,54.67,404.81,474.95,2385.68
-2,201411,2014,11,Herbst,201408,2014,8,Sommer,0,3,0.41,0.08,0.38,91.3738,1.33,100.0,0.0002259803,2.92,1.44,3.22,774.33,45.65,49.19,353.5,380.91,852.38
-2,201412,2014,12,Winter,201408,2014,8,Sommer,0,4,0.41,0.08,0.38,91.3738,1.76,124.57,0.0002389013,2.93,1.71,7.15,776.19,59.98,58.46,465.54,453.73,1894.07
-2,201501,2015,1,Winter,201408,2014,8,Sommer,0,5,0.41,0.08,0.37,88.8179,1.19,112.12,0.0001805315,2.29,1.27,3.39,623.87,52.21,55.48,325.73,346.12,924.82
-2,201502,2015,2,Winter,201408,2014,8,Sommer,0,6,0.41,0.08,0.36,87.8594,1.02,98.69,0.0001748016,1.72,1.04,2.26,474.14,59.19,60.49,280.65,286.82,623.35
-2,201503,2015,3,Frühling,201408,2014,8,Sommer,0,7,0.41,0.08,0.35,84.6645,1.16,114.62,0.0001721811,2.02,1.21,2.88,577.02,57.74,59.78,333.19,344.95,822.79
-2,201504,2015,4,Frühling,201408,2014,8,Sommer,0,8,0.41,0.08,0.35,83.7061,1.24,116.9,0.0001792307,2.06,1.2,2.63,595.67,60.06,58.14,357.77,346.34,761.85
-2,201505,2015,5,Frühling,201408,2014,8,Sommer,0,9,0.41,0.08,0.35,84.984,1.39,129.83,0.0001811708,2.4,1.36,3.3,683.58,57.88,56.9,395.63,388.97,939.53
-2,201506,2015,6,Sommer,201408,2014,8,Sommer,0,10,0.41,0.08,0.35,84.984,1.59,131.75,0.0002050924,2.62,1.57,5.1,746.87,60.85,59.98,454.48,448.0,1453.34
-2,201507,2015,7,Sommer,201408,2014,8,Sommer,0,11,0.41,0.08,0.34,83.3866,1.4,141.43,0.0001675405,2.17,1.43,3.07,629.27,64.55,66.06,406.16,415.66,893.02
-2,201508,2015,8,Sommer,201408,2014,8,Sommer,0,12,0.41,0.08,0.34,83.0671,1.34,132.63,0.000171276,2.1,1.39,2.75,612.72,63.79,66.1,390.88,405.01,803.24
-2,201509,2015,9,Herbst,201408,2014,8,Sommer,0,13,0.41,0.08,0.33,79.2332,1.16,127.05,0.0001547269,1.91,1.16,2.32,583.97,60.73,60.84,354.64,355.28,709.31
-2,201510,2015,10,Herbst,201408,2014,8,Sommer,0,14,0.41,0.08,0.34,81.4696,1.21,140.6,0.0001463383,1.98,1.14,2.65,589.2,61.27,57.44,361.0,338.44,788.43
-2,201511,2015,11,Herbst,201408,2014,8,Sommer,0,15,0.41,0.08,0.34,81.4696,1.18,136.74,0.000146485,1.91,1.05,2.56,569.16,61.75,54.81,351.43,311.95,761.05
-2,201512,2015,12,Winter,201408,2014,8,Sommer,0,16,0.41,0.08,0.34,81.7891,1.53,167.2,0.0001550297,1.95,1.17,3.17,577.18,78.49,60.21,453.02,347.49,939.47
-2,201601,2016,1,Winter,201408,2014,8,Sommer,0,17,0.41,0.08,0.32,78.5942,1.09,151.1,0.0001223613,1.73,0.95,2.48,532.2,63.18,55.11,336.26,293.3,764.53
-2,201602,2016,2,Winter,201408,2014,8,Sommer,0,18,0.41,0.08,0.34,81.7891,1.09,138.42,0.0001335952,1.79,0.93,3.43,529.63,61.02,52.0,323.17,275.43,1014.31
