monate_seit_einfuehrung_programm_kohorte,monat,monat_jahr,monat_monat,monat_jahreszeit,kohorte,kohorte_jahr,kohorte_monat,kohorte_jahreszeit,erster_monat_kohorte_fg,monate_seit_existenz_kohorte,kohortengroesse_indexiert,identifizierte_kunden_indexiert,rabatt_indexiert,retentionrate
-2,201408,2014,8,Sommer,201408,2014,8,Sommer,True,0,0.41,0.41,2.54,100.0
-2,201409,2014,9,Herbst,201408,2014,8,Sommer,False,1,0.41,0.4,7.14,97.56097560975611
-2,201410,2014,10,Herbst,201408,2014,8,Sommer,False,2,0.41,0.39,9.28,95.1219512195122
-2,201411,2014,11,Herbst,201408,2014,8,Sommer,False,3,0.41,0.38,3.22,92.6829268292683
-2,201412,2014,12,Winter,201408,2014,8,Sommer,False,4,0.41,0.38,7.15,92.6829268292683
-2,201501,2015,1,Winter,201408,2014,8,Sommer,False,5,0.41,0.37,3.39,90.2439024390244
-2,201502,2015,2,Winter,201408,2014,8,Sommer,False,6,0.41,0.36,2.26,87.8048780487805
-2,201503,2015,3,Frühling,201408,2014,8,Sommer,False,7,0.41,0.35,2.88,85.36585365853658
-2,201504,2015,4,Frühling,201408,2014,8,Sommer,False,8,0.41,0.35,2.63,85.36585365853658
-2,201505,2015,5,Frühling,201408,2014,8,Sommer,False,9,0.41,0.35,3.3,85.36585365853658
-2,201506,2015,6,Sommer,201408,2014,8,Sommer,False,10,0.41,0.35,5.1,85.36585365853658
-2,201507,2015,7,Sommer,201408,2014,8,Sommer,False,11,0.41,0.34,3.07,82.92682926829269
-2,201508,2015,8,Sommer,201408,2014,8,Sommer,False,12,0.41,0.34,2.75,82.92682926829269
-2,201509,2015,9,Herbst,201408,2014,8,Sommer,False,13,0.41,0.33,2.32,80.48780487804879
-2,201510,2015,10,Herbst,201408,2014,8,Sommer,False,14,0.41,0.34,2.65,82.92682926829269
-2,201511,2015,11,Herbst,201408,2014,8,Sommer,False,15,0.41,0.34,2.56,82.92682926829269
-2,201512,2015,12,Winter,201408,2014,8,Sommer,False,16,0.41,0.34,3.17,82.92682926829269
-2,201601,2016,1,Winter,201408,2014,8,Sommer,False,17,0.41,0.32,2.48,78.04878048780488
-2,201602,2016,2,Winter,201408,2014,8,Sommer,False,18,0.41,0.34,3.43,82.92682926829269
-2,201603,2016,3,Frühling,201408,2014,8,Sommer,False,19,0.41,0.32,3.2,78.04878048780488
-2,201604,2016,4,Frühling,201408,2014,8,Sommer,False,20,0.41,0.33,4.67,80.48780487804879
-2,201605,2016,5,Frühling,201408,2014,8,Sommer,False,21,0.41,0.32,3.57,78.04878048780488
-2,201606,2016,6,Sommer,201408,2014,8,Sommer,False,22,0.41,0.33,4.85,80.48780487804879
-2,201607,2016,7,Sommer,201408,2014,8,Sommer,False,23,0.41,0.33,2.86,80.48780487804879
-2,201608,2016,8,Sommer,201408,2014,8,Sommer,False,24,0.41,0.32,3.78,78.04878048780488
-2,201609,2016,9,Herbst,201408,2014,8,Sommer,False,25,0.41,0.33,4.3,80.48780487804879
-2,201610,2016,10,Herbst,201408,2014,8,Sommer,False,26,0.41,0.33,4.77,80.48780487804879
-2,201611,2016,11,Herbst,201408,2014,8,Sommer,False,27,0.41,0.34,8.0,82.92682926829269
-2,201612,2016,12,Winter,201408,2014,8,Sommer,False,28,0.41,0.35,9.73,85.36585365853658
-2,201701,2017,1,Winter,201408,2014,8,Sommer,False,29,0.41,0.33,4.23,80.48780487804879
-2,201702,2017,2,Winter,201408,2014,8,Sommer,False,30,0.41,0.33,5.39,80.48780487804879
-2,201703,2017,3,Frühling,201408,2014,8,Sommer,False,31,0.41,0.34,7.71,82.92682926829269
-2,201704,2017,4,Frühling,201408,2014,8,Sommer,False,32,0.41,0.34,4.83,82.92682926829269
-2,201705,2017,5,Frühling,201408,2014,8,Sommer,False,33,0.41,0.33,3.44,80.48780487804879
