MONATE_SEIT_EINFUEHRUNG_PROGRAMM_KOHORTE,MONAT,KOHORTE,ERSTER_MONAT_KOHORTE_FG,MONATE_SEIT_EXISTENZ_KOHORTE,KOHORTENGROESSE_INDEXIERT,KOHORTENGROESSE_KUMULIERT_INDEXIERT,IDENTIFIZIERTE_KUNDEN_INDEXIERT,RETENTIONRATE,UMSATZ_INDEXIERT,MONATLICHER_UMSATZ_INDEXIERT,UMSATZANTEIL_KOHORTE,ANZ_BONS_INDEXIERT,ABVERKAUF_INDEXIERT,RABATT_INDEXIERT,FREQUENZ_INDEXIERT,DURCHSCHNITTSBON_INDEXIERT,STUECKBON_INDEXIERT,UMSATZ_JE_KUNDE_INDEXIERT,ABVERKAUF_JE_KUNDE_INDEXIERT,RABATT_JE_KUNDE_INDEXIERT
-2,201408,201408,1,0,0.41,0.08,0.41,100.000000,0.16,0.03,0.104058272600,0.54,0.20,2.54,131.29,29.28,37.51,38.45,49.24,615.67
-2,201409,201408,0,1,0.41,0.08,0.40,95.846600,1.14,2.51,0.007667752100,2.54,1.41,7.14,641.94,44.77,55.55,287.41,356.62,1805.14
-2,201410,201408,0,2,0.41,0.08,0.39,94.249200,1.58,98.86,0.000270010600,3.38,1.85,9.28,868.77,46.60,54.67,404.81,474.95,2385.68
-2,201411,201408,0,3,0.41,0.08,0.38,91.373800,1.33,100.00,0.000225980300,2.92,1.44,3.22,774.33,45.65,49.19,353.50,380.91,852.38
-2,201412,201408,0,4,0.41,0.08,0.38,91.373800,1.76,124.57,0.000238901300,2.93,1.71,7.15,776.19,59.98,58.46,465.54,453.73,1894.07
-2,201501,201408,0,5,0.41,0.08,0.37,88.817900,1.19,112.12,0.000180531500,2.29,1.27,3.39,623.87,52.21,55.48,325.73,346.12,924.82
-2,201502,201408,0,6,0.41,0.08,0.36,87.859400,1.02,98.69,0.000174801600,1.72,1.04,2.26,474.14,59.19,60.49,280.65,286.82,623.35
-2,201503,201408,0,7,0.41,0.08,0.35,84.664500,1.16,114.62,0.000172181100,2.02,1.21,2.88,577.02,57.74,59.78,333.19,344.95,822.79
-2,201504,201408,0,8,0.41,0.08,0.35,83.706100,1.24,116.90,0.000179230700,2.06,1.20,2.63,595.67,60.06,58.14,357.77,346.34,761.85
-2,201505,201408,0,9,0.41,0.08,0.35,84.984000,1.39,129.83,0.000181170800,2.40,1.36,3.30,683.58,57.88,56.90,395.63,388.97,939.53
-2,201506,201408,0,10,0.41,0.08,0.35,84.984000,1.59,131.75,0.000205092400,2.62,1.57,5.10,746.87,60.85,59.98,454.48,448.00,1453.34
-2,201507,201408,0,11,0.41,0.08,0.34,83.386600,1.40,141.43,0.000167540500,2.17,1.43,3.07,629.27,64.55,66.06,406.16,415.66,893.02
-2,201508,201408,0,12,0.41,0.08,0.34,83.067100,1.34,132.63,0.000171276000,2.10,1.39,2.75,612.72,63.79,66.10,390.88,405.01,803.24
-2,201509,201408,0,13,0.41,0.08,0.33,79.233200,1.16,127.05,0.000154726900,1.91,1.16,2.32,583.97,60.73,60.84,354.64,355.28,709.31
-2,201510,201408,0,14,0.41,0.08,0.34,81.469600,1.21,140.60,0.000146338300,1.98,1.14,2.65,589.20,61.27,57.44,361.00,338.44,788.43
-2,201511,201408,0,15,0.41,0.08,0.34,81.469600,1.18,136.74,0.000146485000,1.91,1.05,2.56,569.16,61.75,54.81,351.43,311.95,761.05
