Name,Coefficient
Intercept,50.622
erster_monat_kohorte_fg,47.441
rabatt_indexiert,0.014
kohorte_monat_1,0.055
kohorte_monat_10,-3.501
kohorte_monat_11,-2.751
kohorte_monat_12,-1.282
kohorte_monat_2,-1.176
kohorte_monat_3,-1.28
kohorte_monat_4,-0.57
kohorte_monat_5,0.346
kohorte_monat_6,-5.035
kohorte_monat_7,-5.152
kohorte_monat_8,12.203
kohorte_monat_9,8.142
monat_jahreszeit_Frühling,0.368
monat_jahreszeit_Herbst,0.114
monat_jahreszeit_Sommer,-1.77
monat_jahreszeit_Winter,1.289
kohorte_jahreszeit_Frühling,-1.504
kohorte_jahreszeit_Herbst,1.89
kohorte_jahreszeit_Sommer,2.016
kohorte_jahreszeit_Winter,-2.403
