Name,Coefficient
Intercept,4.061
monate_seit_einfuehrung_programm_kohorte,-0.008
rabatt_indexiert,-0.007
monat_monat_10,0.027
monat_monat_11,0.008
monat_monat_12,0.057
monat_monat_2,0.017
monat_monat_3,0.037
monat_monat_4,0.004
monat_monat_5,-0.01
monat_monat_6,0.002
monat_monat_7,-0.002
monat_monat_8,-0.032
monat_monat_9,-0.024
monat_jahreszeit_Herbst,0.011
monat_jahreszeit_Sommer,-0.033
monat_jahreszeit_Winter,-0.009
kohorte_jahreszeit_Herbst,0.091
kohorte_jahreszeit_Sommer,0.083
kohorte_jahreszeit_Winter,-0.05
