Name,Coefficient
Intercept,-6159409467217.402
erster_monat_kohorte_fg,0.651
monat_monat_10,-5343048223773.032
monat_monat_11,-5343048223773.03
monat_monat_12,0.059
monat_monat_2,-0.001
monat_monat_3,6159409467221.316
monat_monat_4,6159409467221.296
monat_monat_5,6159409467221.284
monat_monat_6,2809979744971.306
monat_monat_7,2809979744971.3
monat_monat_8,2809979744971.256
monat_monat_9,-5343048223773.066
monat_jahreszeit_Herbst,11502457690994.348
monat_jahreszeit_Sommer,3349429722249.958
monat_jahreszeit_Winter,6159409467221.297
kohorte_jahreszeit_Herbst,0.132
kohorte_jahreszeit_Sommer,0.108
kohorte_jahreszeit_Winter,-0.014
